Strain	Gene	z_score	Fold_change	Description	GO_function	GO_process	GO_component	Essential	Zygosity
YOR298W::chr15_4	MUM3	0.69244	0.0444811	Protein of unknown function involved in the organization of the outer spore wall layers; has similarity to the tafazzins superfamily of acyltransferases	"acyltransferase activity (IEA, ISS)"	ascospore wall assembly (IMP); metabolic process (IEA); phospholipid biosynthetic process (ISS); sporulation (IEA)	cellular_component (ND); integral to membrane (IEA); membrane (IEA)	no	hom
YOR299W::chr15_4	BUD7	-0.684201	-0.0560842	"Member of the ChAPs family of proteins (Chs5p-Arf1p-binding proteins: Bch1p, Bch2p, Bud7p, Chs6p), that forms the exomer complex with Chs5p to mediate export of specific cargo proteins, including Chs3p, from the Golgi to the plasma membrane"	molecular_function (ND)	"Golgi to plasma membrane transport (IGI); cell wall chitin biosynthetic process (IGI, IPI); cellular bud site selection (IMP); protein transport (IEA); transport (IEA)"	Golgi apparatus (IEA); clathrin-coated vesicle (IDA); exomer complex (IDA); membrane (IEA); trans-Golgi network transport vesicle (IDA)	no	hom
YOR300W::chr00_12/chr15_4	YOR300W	-1.63528	-0.0959425	"Dubious open reading frame, unlikely to encode a protein; overlaps with verified gene BUD7/YOR299W; mutation affects bipolar budding and bud site selection, though phenotype could be due to the mutation's effects on BUD7"				no	
YOR301W::chr15_4	RAX1	-0.767249	0.00935084	Protein involved in bud site selection during bipolar budding; localization requires Rax2p; has similarity to members of the insulin-related peptide superfamily	molecular_function (ND); signal transducer activity (IEA)	cell cycle (IEA); cell division (IEA); cellular bud site selection (IGI)	"cellular bud neck (IDA, IEA); cellular bud tip (IEA); integral to membrane (IEA, ISS); membrane (IEA); plasma membrane (IEA)"	no	hom
YOR302W::chr00_17b	YOR302W	-0.220844	-0.0235862	"CPA1 uORF , Arginine attenuator peptide, regulates translation of the CPA1 mRNA"	translation regulator activity (IDA)	regulation of translation (IDA)	cytosol (IC)	no	hom
YOR303W::chr00_17b	CPA1	-0.0419043	-0.00105806	"Small subunit of carbamoyl phosphate synthetase, which catalyzes a step in the synthesis of citrulline, an arginine precursor; translationally regulated by an attenuator peptide encoded by YOR302W within the CPA1 mRNA 5'-leader"	"carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity (IEA, ISS, IMP); carbamoyl-phosphate synthase activity (IEA); catalytic activity (IEA); ligase activity (IEA)"	"amino acid biosynthetic process (IEA); arginine biosynthetic process (TAS, IEA); glutamine metabolic process (IEA); nitrogen compound metabolic process (IEA)"	carbamoyl-phosphate synthase complex (ISS); cytoplasm (IEA)	no	hom
YOR304C-A::chr15_4	YOR304C-A	-0.00481821	0.000597882	"Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck"	molecular_function (ND)	biological_process (ND)	"cellular bud (IEA, IDA); cellular bud neck (IDA, IEA); cytoplasm (IDA, IEA)"	no	hom
YOR304W::chr15_4	ISW2	-0.699379	-0.0597785	"Member of the imitation-switch (ISWI) class of ATP-dependent chromatin remodeling complexes; ATPase component that, with Itc1p, forms a complex required for repression of a-specific genes, INO1, and early meiotic genes during mitotic growth"	ATP binding (IEA); ATPase activity (ISS); DNA binding (IEA); helicase activity (IEA); hydrolase activity (IEA); nucleic acid binding (IEA); nucleosome binding (IEA); nucleotide binding (IEA)	"ATP-dependent chromatin remodeling (IEA); chromatin modification (IEA); chromatin remodeling (IMP, IGI, IPI); chromatin silencing at rDNA (IMP); chromatin silencing at telomere (IMP); negative regulation of antisense RNA transcription (IGI); negative regulation of transcription from RNA polymerase II promoter by pheromones (IMP); nucleosome positioning (IDA); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	"chromatin accessibility complex (IPI, ISS); chromatin remodeling complex (IEA); nucleus (IEA, IPI)"	no	hom
YOR305W::chr15_4	YOR305W	2.59454	0.502638	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO); YOR305W is not an essential gene	molecular_function (ND)	response to drug (IMP)	"mitochondrion (IDA, IEA)"	no	hom
YOR306C::chr00_8/chr15_4	MCH5	-0.788323	-0.0853831	"Plasma membrane riboflavin transporter; facilitates the uptake of vitamin B2; required for FAD-dependent processes; sequence similarity to mammalian monocarboxylate permeases, however mutants are not deficient in monocarboxylate transport"	"monocarboxylic acid transmembrane transporter activity (IMP, IGI); riboflavin transporter activity (IGI); transporter activity (IEA)"	riboflavin transport (IGI); transport (IEA)	"integral to membrane (IEA); membrane (IEA); plasma membrane (IDA, IEA)"	no	
YOR307C::chr15_4	SLY41	0.584238	0.0519296	Protein involved in ER-to-Golgi transport	molecular_function (ND); transporter activity (IEA)	ER to Golgi vesicle-mediated transport (IGI); transport (IEA)	endoplasmic reticulum (IDA); integral to membrane (IEA); membrane (IEA)	no	hom
YOR308C::chr15_4	SNU66	-0.56683	-0.0625359	Component of the U4/U6.U5 snRNP complex involved in pre-mRNA splicing via spliceosome; has homology to human SART-1 and to an S. pombe protein; snu66 null mutation confers cold-sensitivity but is not lethal at normal growth temperatures	"RNA splicing factor activity, transesterification mechanism (IDA, IPI, IMP)"	"RNA splicing (IEA); mRNA processing (IEA); nuclear mRNA splicing, via spliceosome (IMP, IPI)"	U4/U6 x U5 tri-snRNP complex (IDA); nucleus (IEA); ribonucleoprotein complex (IEA); spliceosome (IEA)	no	hom
YOR309C::chr00_12/chr15_4	YOR309C	-0.630746	-0.0844118	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene NOP58"				no	
YOR310C::chr15_4	NOP58	-1.61596	-0.272212	"Protein involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA"	molecular_function (ND)	"rRNA modification (TAS); rRNA processing (TAS, IEA); ribosome biogenesis and assembly (RCA, IEA)"	"90S preribosome (IDA); box C/D snoRNP complex (IDA, IPI); nucleus (IEA); ribonucleoprotein complex (IEA); small-subunit processome (IDA)"	yes	het
YOR311C::chr15_4	DGK1	2.18644	0.19347	"Diacylglycerol kinase, localized to the endoplasmic reticulum (ER); overproduction induces enlargement of ER-like membrane structures and suppresses a temperature-sensitive sly1 mutation; contains a CTP transferase domain"	diacylglycerol kinase activity (IDA); phosphatidate cytidylyltransferase activity (IEA)	"phosphatidic acid biosynthetic process (IMP, IDA); phospholipid biosynthetic process (IEA); transport (IEA); vesicle-mediated transport (IEA)"	"Golgi apparatus (IEA); endoplasmic reticulum (IEA); endoplasmic reticulum membrane (IEA); integral to endoplasmic reticulum membrane (IDA); integral to membrane (IEA, ISS); membrane (IEA)"	no	hom
YOR312C::chr15_4	RPL20B	-0.0383037	0.00118578	"Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl20Ap and has similarity to rat L18a ribosomal protein"	"structural constituent of ribosome (TAS, IEA)"	"ribosome biogenesis and assembly (RCA); translation (IEA, TAS)"	cytoplasm (IEA); cytosolic large ribosomal subunit (TAS); intracellular (IEA); ribonucleoprotein complex (IEA); ribosome (IEA)	no	hom
YOR313C::chr15_4	SPS4	0.990313	0.134241	Protein whose expression is induced during sporulation; not required for sporulation; heterologous expression in E. coli induces the SOS response that senses DNA damage	molecular_function (ND)	ascospore formation (IEP); meiosis (IEA); sporulation (IEA)	cellular_component (ND)	no	hom
YOR314W::chr15_4	YOR314W	0.70981	0.0634879	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data"				no	hom
YOR315W::chr15_4	SFG1	-0.115858	-0.0162495	"Nuclear protein, putative transcription factor required for growth of superficial pseudohyphae (which do not invade the agar substrate) but not for invasive pseudohyphal growth; may act together with Phd1p; potential Cdc28p substrate"	"specific RNA polymerase II transcription factor activity (ISS, IMP)"	"positive regulation of transcription from RNA polymerase II promoter (IMP, ISS); pseudohyphal growth (IMP); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	"cytoplasm (IDA); nucleus (IEA, IDA)"	no	hom
YOR316C-A::chr00_21	YOR316C-A	-0.728692	-0.0510623	Putative protein of unknown function; identified by fungal homology and RT-PCR	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YOR316C::chr15_4	COT1	1.32803	0.17451	Vacuolar transporter that mediates zinc transport into the vacuole; overexpression confers resistance to cobalt and rhodium	"cation transmembrane transporter activity (IEA); cobalt ion binding (IEA); cobalt ion transmembrane transporter activity (IMP); di-, tri-valent inorganic cation transmembrane transporter activity (ISS); zinc ion transmembrane transporter activity (IGI)"	cation transport (IEA); cellular zinc ion homeostasis (IMP); cobalt ion transport (IMP); transport (IEA); zinc ion transport (IGI)	"fungal-type vacuole (IDA); integral to membrane (IEA); membrane (IEA); mitochondrial membrane (IEA); mitochondrion (IDA, IEA)"	no	hom
YOR317W::chr00_8	FAA1	0.847586	0.0842477	Long chain fatty acyl-CoA synthetase with a preference for C12:0-C16:0 fatty acids; involved in the activation of imported fatty acids; localized to both lipid particles and mitochondrial outer membrane; essential for stationary phase	"catalytic activity (IEA); ligase activity (IEA); long-chain-fatty-acid-CoA ligase activity (IDA, IEA); magnesium ion binding (IEA)"	"N-terminal protein myristoylation (IGI, IMP); fatty acid metabolic process (IEA); lipid metabolic process (IEA, IMP, IGI); lipid transport (IGI, IPI); metabolic process (IEA)"	lipid particle (IDA); mitochondrial outer membrane (IDA); mitochondrion (IDA)	no	hom
YOR318C::chr15_4	YOR318C	0.834714	0.104306	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; transcript is predicted to be spliced but there is no evidence that it is spliced in vivo"				no	hom
YOR319W::chr15_4	HSH49	0.706848	0.253774	U2-snRNP associated splicing factor with similarity to the mammalian splicing factor SAP49; proposed to function as a U2-snRNP assembly factor along with Hsh155p and binding partner Cus1p; contains two RNA recognition motifs (RRM)	"RNA binding (IEA, IDA); nucleic acid binding (IEA); nucleotide binding (IEA)"	"mRNA processing (IEA); nuclear mRNA splicing, via spliceosome (IMP, IPI)"	nucleus (IEA); snRNP U2 (IDA)	yes	het
YOR320C::chr15_4	GNT1	0.535085	0.0165416	N-acetylglucosaminyltransferase capable of modification of N-linked glycans in the Golgi apparatus	acetylglucosaminyltransferase activity (IDA); transferase activity (IEA)	protein amino acid N-linked glycosylation (IMP)	Golgi apparatus (IEA); Golgi medial cisterna (IDA); Golgi membrane (IEA); integral to membrane (IEA); membrane (IEA); vacuolar membrane (IEA); vacuole (IEA)	no	hom
YOR321W::chr15_4	PMT3	0.0842563	0.0138015	"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt5p, can instead interact with Pmt1p in some conditions; target for new antifungals"	"dolichyl-phosphate-mannose-protein mannosyltransferase activity (ISS, IMP, IEA); mannosyltransferase activity (IEA); transferase activity (IEA); transferase activity, transferring glycosyl groups (IEA)"	"protein amino acid O-linked glycosylation (ISS, IEA, IMP)"	"endoplasmic reticulum (IEA, TAS); endoplasmic reticulum membrane (IEA); integral to membrane (IEA); membrane (IEA)"	no	hom
YOR322C::chr15_4	LDB19	-0.140311	-0.00373482	Protein of unknown function involved in maintenance of proper telomere length; null mutant shows a reduced affinity for the alcian blue dye suggesting a decreased net negative charge of the cell surface	molecular_function (ND)	cell cycle (IEA); telomere maintenance (IMP)	"Golgi apparatus (IEA); clathrin-coated vesicle (IDA); cytoplasm (IDA, IEA)"	no	hom
YOR323C::chr15_4	PRO2	-2.23975	-0.383476	"Gamma-glutamyl phosphate reductase, catalyzes the second step in proline biosynthesis"	"NADP binding (IEA); glutamate-5-semialdehyde dehydrogenase activity (IDA, IEA, IGI); oxidoreductase activity (IEA)"	"amino acid biosynthetic process (IEA); metabolic process (IEA); oxidation reduction (IEA); proline biosynthetic process (IEA, IDA, TAS)"	cytoplasm (IDA); nucleus (IDA)	no	hom
YOR324C::chr15_4	FRT1	0.836012	0.0962258	"Tail-anchored endoplasmic reticulum membrane protein that is a substrate of the phosphatase calcineurin, interacts with homolog Frt2p, promotes cell growth in conditions of high Na+, alkaline pH, and cell wall stress"	molecular_function (ND)	response to stress (IMP)	"endoplasmic reticulum (IEA, IDA); endoplasmic reticulum membrane (IEA); integral to membrane (IEA); membrane (IEA)"	no	hom
YOR325W::chr15_4	YOR325W	0.652359	0.0711578	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; completely overlaps the verified ORF FRT1"				no	hom
YOR326W::chr15_4	MYO2	0.821359	0.109988	"One of two type V myosin motors (along with MYO4) involved in actin-based transport of cargos; required for the polarized delivery of secretory vesicles, the vacuole, late Golgi elements, peroxisomes, and the mitotic spindle"	"ATP binding (IEA); actin binding (IEA); actin filament binding (IDA); calmodulin binding (IEA, IDA); microfilament motor activity (IDA); motor activity (IEA); nucleotide binding (IEA)"	"Golgi inheritance (IMP); budding cell apical bud growth (IMP); cell cycle (IEA); cell division (IEA); establishment of mitotic spindle orientation (IMP, IPI); membrane addition at site of cytokinesis (IGI, IEP, IMP); mitochondrion inheritance (IMP, IGI, IPI); peroxisome inheritance (IMP, IPI); protein transport (IEA); transport (IEA); unidimensional cell growth (IMP); vacuole inheritance (IMP, IPI, IGI); vesicle transport along actin filament (IMP, IEP); vesicle-mediated transport (IGI, IMP)"	"actin cable (IMP, IEP); cellular bud neck (IDA, IEA); cellular bud tip (IDA, IEA); filamentous actin (IDA); fungal-type vacuole membrane (IDA); incipient cellular bud site (IDA); mating projection tip (IDA); myosin V complex (ISS); myosin complex (IEA); vesicle (IDA)"	yes	het
YOR327C::chr15_4	SNC2	-0.98145	-0.121862	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins	"SNAP receptor activity (IDA, TAS)"	Golgi to plasma membrane transport (TAS); endocytosis (TAS); telomere maintenance (IMP); vesicle fusion (TAS); vesicle-mediated transport (IEA)	endomembrane system (IEA); endosome (IDA); integral to membrane (IEA); membrane (IEA); trans-Golgi network (IDA); transport vesicle (TAS)	no	hom
YOR328W::chr15_4	PDR10	0.043671	0.0079204	"ATP-binding cassette (ABC) transporter, multidrug transporter involved in the pleiotropic drug resistance network; regulated by Pdr1p and Pdr3p"	"ATP binding (IEA); ATPase activity (IEA); ATPase activity, coupled to transmembrane movement of substances (ISS, IEA); nucleoside-triphosphatase activity (IEA); nucleotide binding (IEA)"	"multidrug transport (ISS, IEP); transport (IEA)"	integral to membrane (IEA); membrane (IEA); plasma membrane (ISS)	no	hom
YOR329C::chr15_4	SCD5	1.68539	0.168054	Protein required for normal cortical actin organization and endocytosis; multicopy suppressor of clathrin deficiency; acts as a targeting subunit for protein phosphatase type 1	protein binding (IDA)	"actin filament organization (TAS); cortical actin cytoskeleton organization and biogenesis (IMP); endocytosis (TAS); protein secretion (IGI, IMP); protein transport (IEA); transport (IEA)"	actin cortical patch (IDA); membrane (IEA); peripheral to membrane of membrane fraction (IDA)	yes	het
YOR330C::chr15_4	MIP1	0.928842	0.113357	Catalytic subunit of the mitochondrial DNA polymerase; conserved C-terminal segment is required for the maintenance of mitochondrial genome.	"DNA binding (IEA); DNA-directed DNA polymerase activity (IEA, TAS); magnesium ion binding (IEA); nucleic acid binding (IEA); nucleotidyltransferase activity (IEA); transferase activity (IEA)"	"DNA replication (IEA); DNA-dependent DNA replication (IDA, IMP); mitochondrial DNA replication (IDA)"	"gamma DNA polymerase complex (IEA); mitochondrion (IDA, IEA)"	no	hom
YOR331C::chr15_4	YOR331C	0.34251	0.120676	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; open reading frame overlaps the verified gene VMA4/YOR332W"				no	hom
YOR332W::chr15_4	VMA4	2.36938	0.630925	"Subunit E of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane"	"hydrogen ion transmembrane transporter activity (IEA); hydrogen ion transporting ATPase activity, rotational mechanism (IEA, TAS); hydrolase activity (IEA)"	ion transport (IEA); proton transport (IEA); transport (IEA); vacuolar acidification (TAS)	"fungal-type vacuole membrane (TAS); membrane (IEA); proton-transporting two-sector ATPase complex (IEA); vacuolar membrane (IEA); vacuolar proton-transporting V-type ATPase, V1 domain (TAS); vacuole (IEA)"	no	hom
YOR333C::chr15_4	YOR333C	0.964884	0.143578	"Dubious open reading frame, unlikely to encode a functional protein; overlaps 5' end of MRS2 gene required for respiratory growth"				no	hom
YOR334W::chr15_4	MRS2	0.782111	0.0756399	"Mitochondrial inner membrane Mg(2+) channel, required for maintenance of intramitochondrial Mg(2+) concentrations at the correct level to support splicing of group II introns"	"magnesium ion binding (IEA); magnesium ion transmembrane transporter activity (ISS, IMP, IGI, IDA); metal ion transmembrane transporter activity (IEA)"	"Group II intron splicing (IMP); ion transport (IEA); metal ion transport (IEA); mitochondrial magnesium ion transport (IGI, ISS, IDA, IMP); transport (IEA)"	"integral to membrane (IEA); membrane (IEA); mitochondrial inner membrane (IEA, IDA); mitochondrion (IDA, IEA)"	no	hom
YOR335C::chr15_4	ALA1	-0.314158	-0.019995	"Cytoplasmic alanyl-tRNA synthetase, required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog"	"ATP binding (IEA); alanine-tRNA ligase activity (IGI, IEA, ISS); aminoacyl-tRNA ligase activity (IEA); ligase activity (IEA); ligase activity, forming aminoacyl-tRNA and related compounds (IEA); nucleic acid binding (IEA); nucleotide binding (IEA)"	"alanyl-tRNA aminoacylation (IGI, IEA, IMP); tRNA aminoacylation (IEA); translation (IEA)"	"cytoplasm (IDA, IEA); mitochondrion (IDA)"	yes	het
YOR336W::chr15_4	KRE5	0.847922	0.0763216	"Protein required for beta-1,6 glucan biosynthesis; mutations result in aberrant morphology and severe growth defects"	"UDP-glucose:glycoprotein glucosyltransferase activity (IDA, IEA)"	"1,6-beta-glucan biosynthetic process (TAS); cell wall organization and biogenesis (IEA); protein amino acid glycosylation (IEA)"	"cell wall (IEA); endoplasmic reticulum (IEA, TAS); endoplasmic reticulum lumen (IEA); extracellular region (IEA)"	yes	het
YOR337W::chr15_4	TEA1	0.180388	0.0499837	Ty1 enhancer activator required for full levels of Ty enhancer-mediated transcription; C6 zinc cluster DNA-binding protein	"DNA binding (IEA, IDA); metal ion binding (IEA); transcription factor activity (IEA); zinc ion binding (IEA)"	"regulation of transcription, DNA-dependent (IEA); transcription (IEA, IPI, IGI)"	"nucleus (IEA, IPI, IGI)"	no	hom
YOR338W::chr15_4	YOR338W	0.507197	0.0513373	Putative protein of unknown function; YOR338W transcription is regulated by Azf1p and its transcript is a specific target of the G protein effector Scp160p; identified as being required for sporulation in a high-throughput mutant screen	molecular_function (ND)	ascospore formation (IMP); positive regulation of transcription from RNA polymerase II promoter (IMP); response to stress (IEA)	cellular_component (ND)	no	hom
YOR339C::chr15_4	UBC11	0.107532	0.0159632	"Ubiquitin-conjugating enzyme most similar in sequence to Xenopus ubiquitin-conjugating enzyme E2-C, but not a true functional homolog of this E2; unlike E2-C, not required for the degradation of mitotic cyclin Clb2"	"ligase activity (IEA); small conjugating protein ligase activity (IEA); ubiquitin-protein ligase activity (IEA, ISS)"	post-translational protein modification (IEA); protein monoubiquitination (TAS); protein polyubiquitination (TAS); regulation of protein metabolic process (IEA); ubiquitin cycle (IEA)	cytoplasm (IC)	no	hom
YOR340C::chr15_4	RPA43	-1.15702	-0.358668	RNA polymerase I subunit A43	"DNA-directed RNA polymerase activity (TAS, IEA)"	ribosome biogenesis and assembly (RCA); transcription (IEA); transcription from RNA polymerase I promoter (TAS)	DNA-directed RNA polymerase I complex (TAS); nucleus (IEA)	yes	het
YOR341W::chr15_4	RPA190	-0.0856329	0.00834809	RNA polymerase I subunit; largest subunit of RNA polymerase I	"DNA binding (IEA); DNA-directed RNA polymerase activity (TAS, IEA); magnesium ion binding (IEA); metal ion binding (IEA); nucleotidyltransferase activity (IEA); transferase activity (IEA); zinc ion binding (IEA)"	transcription (IEA); transcription from RNA polymerase I promoter (TAS)	DNA-directed RNA polymerase I complex (TAS); nucleus (IEA)	yes	het
YOR342C::chr15_4	YOR342C	1.35397	0.172652	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus	molecular_function (ND)	biological_process (ND)	"cytoplasm (IDA, IEA); nucleus (IEA, IDA)"	no	hom
YOR343C::chr15_4	YOR343C	0.626513	0.0371262	"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"				no	hom
YOR344C::chr15_4	TYE7	-0.345914	-0.08993	Serine-rich protein that contains a basic-helix-loop-helix (bHLH) DNA binding motif; binds E-boxes of glycolytic genes and contributes to their activation; may function as a transcriptional activator in Ty1-mediated gene expression	"DNA binding (IEA); transcription factor activity (ISS, IPI, IGI, IDA); transcription regulator activity (IEA)"	"G1/S-specific transcription in mitotic cell cycle (IPI); positive regulation of glycolysis (IMP, IGI); regulation of transcription (IEA); regulation of transcription, DNA-dependent (IEA); transcription (IEA, IPI, IGI, IDA)"	"nucleus (IEA, IC)"	no	hom
YOR345C::chr15_4	YOR345C	2.78659	0.182871	"Dubious ORF unlikely to encode a protein, based on available experimental and comparative sequence data; overlaps the verified gene REV1; null mutant displays increased resistance to antifungal agents gliotoxin, cycloheximide and H2O2"				no	hom
YOR346W::chr15_4	REV1	-1.44579	-0.108859	"Deoxycytidyl transferase, forms a complex with the subunits of DNA polymerase zeta, Rev3p and Rev7p; involved in repair of abasic sites in damaged DNA"	DNA binding (IEA); DNA-directed DNA polymerase activity (IDA); damaged DNA binding (IEA); deoxycytidyl transferase activity (IDA); magnesium ion binding (IEA); metal ion binding (IEA); nucleotidyltransferase activity (IEA); transferase activity (IEA)	"DNA repair (IEA, IMP); DNA replication (IEA); DNA-dependent DNA replication (IDA); response to DNA damage stimulus (IEA)"	"intracellular (IEA); mitochondrion (IDA); nucleus (IEA, IC)"	no	hom
YOR347C::chr15_4	PYK2	-0.293402	-0.0159586	"Pyruvate kinase that appears to be modulated by phosphorylation; PYK2 transcription is repressed by glucose, and Pyk2p may be active under low glycolytic flux"	"catalytic activity (IEA); kinase activity (IEA); magnesium ion binding (IEA); metal ion binding (IEA); potassium ion binding (IEA); pyruvate kinase activity (IMP, IEA); transferase activity (IEA)"	glycolysis (IEA); pyruvate metabolic process (IMP)	cytosol (TAS); mitochondrion (IDA)	no	hom
YOR348C::chr15_4	PUT4	0.0774835	0.00649468	"Proline permease, required for high-affinity transport of proline; also transports the toxic proline analog azetidine-2-carboxylate (AzC); PUT4 transcription is repressed in ammonia-grown cells"	"L-proline transmembrane transporter activity (IGI, IMP); amino acid transmembrane transporter activity (IEA); neutral amino acid transmembrane transporter activity (IDA)"	amino acid transport (IEA); gamma-aminobutyric acid transport (IGI); neutral amino acid transport (IDA); proline catabolic process (IEP); proline metabolic process (IEA); proline transport (IDA); transport (IEA)	integral to membrane (IEA); membrane (IEA); plasma membrane (ISS)	no	hom
YOR349W::chr15_4	CIN1	-0.649068	-0.135223	Tubulin folding factor D involved in beta-tubulin (Tub2p) folding; isolated as mutant with increased chromosome loss and sensitivity to benomyl	beta-tubulin binding (NAS)	"beta-tubulin folding (TAS); post-chaperonin tubulin folding pathway (TAS, IMP, IPI)"	cellular_component (ND)	no	hom
YOR350C::chr15_4	MNE1	0.179065	0.0185221	Mitochondrial protein similar to Lucilia illustris mitochondrial cytochrome oxidase	molecular_function (ND)	biological_process (ND)	mitochondrion (IDA)	no	hom
YOR351C::chr15_4	MEK1	0.532415	0.0632366	"Meiosis-specific serine/threonine protein kinase, functions in meiotic checkpoint, promotes recombination between homologous chromosomes by suppressing double strand break repair between sister chromatids"	"ATP binding (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA); protein serine/threonine kinase activity (IEA, IMP, IDA); transferase activity (IEA)"	"meiosis (IMP, IEA); protein amino acid phosphorylation (IEA, IDA)"	nucleus (IDA)	no	hom
YOR352W::chr15_4	YOR352W	0.333154	0.109892	"Putative protein of unknown function; expression levels regulated by Arg5,6p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus"	molecular_function (ND)	biological_process (ND)	"cytoplasm (IDA, IEA); nucleus (IEA, IDA)"	no	hom
YOR353C::chr15_4	SOG2	0.129192	0.056298	"Key component of the RAM signaling network, required for proper cell morphogenesis and cell separation after mitosis"	molecular_function (ND)	cell cycle (IEA); cell division (IEA); cell separation during cytokinesis (IMP); cellular morphogenesis during vegetative growth (IGI); signal transduction (IMP)	"cellular bud (IDA); cytoplasm (IDA, IEA); incipient cellular bud site (IDA); mating projection tip (IDA)"	yes	het
YOR354C::chr15_4	MSC6	0.125816	0.0571695	"Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	molecular_function (ND)	DNA recombination (IEA); meiosis (IEA); meiotic recombination (IMP)	"mitochondrion (IDA, IEA)"	no	hom
YOR355W::chr15_4	GDS1	0.892963	0.157909	"Protein of unknown function, required for growth on glycerol as a carbon source; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	molecular_function (ND)	"aerobic respiration (IMP, IGI)"	cytoplasm (IDA); mitochondrion (IDA); nucleus (IDA)	no	hom
YOR356W::chr15_4	YOR356W	0.309929	0.0249755	Mitochondrial protein with similarity to flavoprotein-type oxidoreductases; found in a large supramolecular complex with other mitochondrial dehydrogenases	"4 iron, 4 sulfur cluster binding (IEA); electron-transferring-flavoprotein dehydrogenase activity (IEA); iron ion binding (IEA); iron-sulfur cluster binding (IEA); metal ion binding (IEA); oxidoreductase activity (IEA); oxidoreductase activity, acting on the CH-NH group of donors, quinone or similar compound as acceptor (ISS)"	NADH oxidation (IPI); oxidation reduction (IEA); transport (IEA)	"membrane (IEA); mitochondrial inner membrane (IEA); mitochondrion (IDA, IEA, IPI)"	no	hom
YOR357C::chr15_4	SNX3	-0.185853	-0.0221581	Sorting nexin required to maintain late-Golgi resident enzymes in their proper location by recycling molecules from the prevacuolar compartment; contains a PX domain and sequence similarity to human Snx3p	phosphatidylinositol 3-phosphate binding (IDA); phosphoinositide binding (IEA); protein binding (IDA)	cell communication (IEA); late endosome to Golgi transport (IMP); protein localization (IMP); protein transport (IEA); transport (IEA)	Golgi apparatus (IEA); Golgi membrane (IEA); cytoplasm (IEA); cytosol (IDA); endosome (IDA); late endosome membrane (IEA); membrane (IEA)	no	hom
YOR358W::chr15_4	HAP5	-0.409121	-0.0433122	"Subunit of the heme-activated, glucose-repressed Hap2/3/4/5 CCAAT-binding complex, a transcriptional activator and global regulator of respiratory gene expression; required for assembly and DNA binding activity of the complex"	"DNA binding (IEA, IPI); transcription activator activity (TAS)"	"regulation of carbohydrate metabolic process (TAS); regulation of transcription, DNA-dependent (IEA); transcription (IEA, TAS)"	"CCAAT-binding factor complex (TAS); nucleus (IEA, IC)"	no	hom
YOR359W::chr15_4	VTS1	-0.361121	-0.0423498	"Post-transcriptional gene regulator, RNA-binding protein containing a SAM domain; shows genetic interactions with Vti1p, which is a v-SNARE involved in cis-Golgi membrane traffic"	"RNA binding (IEA, IDA); nucleotide binding (IEA)"	protein transport (IEA); regulation of mRNA stability (IMP); transport (IEA)	cytoplasm (IEA); cytoplasmic mRNA processing body (IGI); cytosol (IDA)	no	hom
